"Outcome","Abruption_OR","Abruption_LCI","Abruption_UCI","Abruption_P","Retention_OR","Retention_LCI","Retention_UCI","Retention_P"
"placenta_previa_indicator",1.7,1.55,1.87,"<0.001",1.44,1.32,1.56,"<0.001"
"preclampsia_indicator",1.5,1.37,1.65,"<0.001",1.53,1.41,1.65,"<0.001"
"eclampsia_indicator",2.56,1.83,3.58,"<0.001",2.32,1.7,3.15,"<0.001"
"gestational_htn_indicator",1.07,0.98,1.17,"0.119",1.23,1.14,1.32,"<0.001"
"multiple_gestation_indicator",1.73,1.5,1.98,"<0.001",1.84,1.64,2.07,"<0.001"
"pph_mindate_indicator",2.09,1.94,2.26,"<0.001",7.31,6.97,7.67,"<0.001"
"alcohol_use_indicator",1.69,1.43,1.99,"<0.001",1.5,1.29,1.75,"<0.001"
"tobaccouse_indicator",1.78,1.65,1.91,"<0.001",1.28,1.2,1.38,"<0.001"
"substance_use_indicator",1.95,1.8,2.12,"<0.001",1.34,1.24,1.45,"<0.001"
"transfusion_indicator",3.4,3.04,3.81,"<0.001",4.58,4.2,4.99,"<0.001"
"mechanical_ventilation_indicator",3.44,2.63,4.49,"<0.001",1.88,1.38,2.56,"<0.001"
"critical_care_indicator",1.89,1.64,2.18,"<0.001",1.25,1.08,1.45,"0.004"
"hysterectomy_indicator",1.11,0.53,2.35,"0.778",4.42,3.23,6.05,"<0.001"
"hypertension_indicator",1.27,1.16,1.39,"<0.001",1.37,1.27,1.48,"<0.001"
"diabetes_indicator",1.21,1.05,1.39,"0.009",1.26,1.12,1.41,"<0.001"
"chronic_kidney_disease_indicator",1.41,1.15,1.73,"<0.001",1.63,1.39,1.91,"<0.001"
"mental_health_indicator",1.33,1.26,1.41,"<0.001",1.42,1.35,1.49,"<0.001"
"lupus_indicator",1.92,1.42,2.6,"<0.001",1.44,1.07,1.93,"0.017"
"asthma_indicator",1.23,1.14,1.33,"<0.001",1.31,1.23,1.4,"<0.001"
"cardiacvalvulardisease_indicator",1.12,0.89,1.4,"0.325",1.33,1.12,1.59,"0.001"
"obesity_indicator",0.91,0.85,0.97,"0.004",1.19,1.13,1.25,"<0.001"
"ards_indicator",2.2,1.74,2.78,"<0.001",1.94,1.56,2.4,"<0.001"
"shock_indicator",2.06,1.56,2.72,"<0.001",1.89,1.48,2.43,"<0.001"
"sepsis_indicator",1.8,1.5,2.15,"<0.001",1.78,1.52,2.08,"<0.001"
"dic_indicator",3.42,2.85,4.09,"<0.001",1.86,1.52,2.29,"<0.001"
"heart_failure_indicator",1.8,1.33,2.43,"<0.001",1.72,1.32,2.24,"<0.001"
"anemia_indicator",1.26,1.18,1.33,"<0.001",1.44,1.37,1.51,"<0.001"
